date,BYR,EUR,KZT,UAH,USD
2010-08,0.0102,39.0311,0.2086,3.8906,30.6969
2010-09,0.0101,41.222,0.2075,3.8598,30.6119
2010-10,0.0102,42.1841,0.2071,3.8463,30.5682
2010-11,0.0103,41.6192,0.2127,3.9387,31.3539
2010-12,0.0101,40.0594,0.2064,3.8181,30.4495
2011-01,0.0099,40.6205,0.2022,3.7382,29.6738
2011-02,0.0096,40.0073,0.1982,3.6431,28.9405
2011-03,0.0093,40.0156,0.194,3.5423,28.2237
2011-04,0.0091,40.6681,0.1905,3.4773,27.7144
2011-05,0.0057,40.0802,0.1934,3.5256,28.1166
2011-06,0.0057,40.0923,0.1938,3.5479,28.3478
2011-07,0.0055,39.7937,0.1885,3.4326,27.4439
2011-08,0.0057,41.6705,0.1972,3.609,28.8717
2011-09,0.0058,43.6357,0.2182,4.0279,32.2201
2011-10,0.0036,42.3571,0.2045,3.7793,30.2421
2011-11,0.0036,42.0251,0.2145,3.9398,31.5788
2011-12,0.0037,40.6339,0.2096,3.8737,31.0847
2012-01,0.0036,39.7841,0.2046,3.78,30.3626
2012-02,0.0036,39.1517,0.1973,3.6353,29.1264
2012-03,0.0036,38.6266,0.1961,3.6078,28.9468
2012-04,0.0037,38.7477,0.199,3.6612,29.4234
2012-05,0.0038,39.8426,0.2148,3.945,31.7572
2012-06,0.0039,41.0217,0.22,4.0649,32.8384
2012-07,0.0039,39.6028,0.2149,3.9818,32.2131
2012-08,0.0038,39.8379,0.214,3.9339,31.8703
2012-09,0.0037,40.2074,0.2079,3.8279,31.1951
2012-10,0.0037,40.6948,0.2091,3.8515,31.478
2012-11,0.0036,40.1893,0.206,3.7974,30.941
2012-12,0.0036,40.3505,0.2028,3.7911,30.4808
2013-01,0.0035,40.2364,0.1994,3.6979,30.0451
2013-02,0.0036,40.042,0.2036,3.761,30.6202
2013-03,0.0036,39.6559,0.2045,3.7904,30.863
2013-04,0.0036,40.6635,0.2065,3.8335,31.2196
2013-05,0.0036,40.4867,0.2075,3.837,31.3025
2013-06,0.0037,42.8349,0.2166,4.0362,32.8766
2013-07,0.0037,43.3421,0.213,4.0112,32.6371
2013-08,0.0037,44.2714,0.2174,4.0756,33.1224
2013-09,0.0036,43.6497,0.2104,3.9542,32.3451
2013-10,0.0034,43.7625,0.2059,3.8745,31.6775
2013-11,0.0035,44.8262,0.2151,4.0227,33.0041
2013-12,0.0034,44.8736,0.2122,3.9694,32.6282
2014-01,0.0036,47.4962,0.2235,4.0931,34.7093
2014-02,0.0037,49.3454,0.1959,3.5517,36.0501
2014-03,0.0036,49.0484,0.1954,3.1769,35.581
2014-04,0.0036,49.6969,0.1974,3.104,35.9289
2014-05,0.0034,46.7712,0.1857,2.8788,34.2571
2014-06,0.0033,45.8251,0.1832,2.838,33.6306
2014-07,0.0034,47.2206,0.191,2.9858,35.0535
2014-08,0.0035,47.6177,0.1985,2.6573,36.1397
2014-09,0.0036,49.3386,0.2129,3.0019,38.7243
2014-10,0.0039,53.2342,0.2317,3.2269,41.9497
2014-11,0.0044,59.6215,0.2634,3.1565,47.6629
2014-12,0.0047,63.5131,0.2851,3.2892,52.0343
2015-01,0.0044,76.2922,0.3674,4.3411,67.8153
2015-02,0.0041,68.6857,0.3307,2.077,61.2718
2015-03,0.004,62.5655,0.3109,2.4565,57.7279
2015-04,0.0036,55.8747,0.277,2.2427,51.469
2015-05,0.0035,55.6757,0.2746,2.3674,51.0178
2015-06,0.0036,61.4066,0.2944,2.6101,54.8126
2015-07,0.0039,65.083,0.3139,2.6719,58.7816
2015-08,0.0038,76.3369,0.2803,3.1628,67.4473
2015-09,0.0037,73.1397,0.2427,3.0581,65.6727
2015-10,0.0037,70.2124,0.2276,2.7851,63.5004
2015-11,0.0036,70.3859,0.2156,2.789,66.2393
2015-12,0.0038,77.05,0.2142,3.0618,70.269
2016-01,0.0037,85.8459,0.2097,3.1918,78.9969
2016-02,0.0035,82.9748,0.2147,2.776,75.0903
2016-03,0.0034,76.4004,0.1994,2.612,68.4346
2016-04,0.0033,73.8023,0.1969,2.5832,65.1618
2016-05,0.0034,73.8474,0.1969,2.6275,66.0413
2016-06,0.0033,71.942,0.1921,2.6141,65.0588
2016-07,,72.515,0.1873,2.6581,65.9467
2016-08,,73.0892,0.1911,2.5437,64.738
2016-09,,71.6409,0.189,2.4687,63.6921
2016-10,,68.7576,0.1893,2.4722,63.0399
2016-11,,68.4363,0.1911,2.5148,64.6174
2016-12,,63.573,0.1824,2.3096,60.8587
2017-01,,64.3429,0.1834,2.2164,60.3196
2017-02,,61.2569,0.1852,2.1426,57.9371
2017-03,,61.9615,0.1802,2.0999,57.0233
2017-04,,62.1664,0.1814,2.1458,56.9707
2017-05,,63.6689,0.1823,2.1545,56.756
2017-06,,65.9563,0.1826,2.257,58.8843
2017-07,,69.6406,0.1822,2.2929,59.4102
2017-08,,69.6995,0.1778,2.3145,59.1476
2017-09,,68.1678,0.1707,2.1911,58.0102
2017-10,,67.5276,0.1736,2.1612,58.0833
2017-11,,69.4957,0.176,2.1648,58.2773
2017-12,,68.2328,0.1733,2.0556,57.4544
2018-01,,69.6073,0.1742,1.9548,55.8288
2018-02,,68.6599,0.1745,2.0642,55.6717
2018-03,,71.2625,0.1794,2.1725,57.1747
2018-04,,75.7605,0.1914,2.395,62.726
2018-05,,72.1183,0.1881,2.3573,61.6659
2018-06,,73.6038,0.1853,2.3997,63.1359
2018-07,,73.3442,0.1817,2.3515,62.9726
2018-08,,78.2269,0.1864,2.42,67.3963
2018-09,,77.0407,0.182,2.3263,65.8355
2018-10,,74.6658,0.178,2.3217,65.6345
2018-11,,75.6217,0.1794,2.3783,66.78
2018-12,,78.388,0.1827,2.5098,68.8762
2019-01,,74.6312,0.174,2.3664,65.917
2019-02,,74.8249,0.1746,2.4334,65.757
2019-03,,72.7182,0.1705,2.3854,64.5925
2019-04,,72.0882,0.1698,2.4437,64.7053
2019-05,,72.1863,0.1696,2.4492,64.4636
2019-06,,71.6635,0.1657,2.408,63.0452
2019-07,,70.311,0.1639,2.4819,63.1271
2019-08,,73.6091,0.1708,2.6347,66.2608
2019-09,,70.3161,0.1661,2.6721,64.4156
2019-10,,71.1194,0.1645,2.5415,63.9966
2019-11,,70.4398,0.1656,2.6691,63.9722
2019-12,,69.0349,0.163,2.6326,62.0315
2020-01,,68.7775,0.1638,2.541,62.338
2020-02,,71.6458,0.1727,2.6691,65.6097
2020-03,,85.7389,0.1743,2.7521,77.7325
2020-04,,80.7611,0.1728,2.7484,74.496
2020-05,,77.9069,0.1722,2.6314,71.0635
2020-06,,77.5413,0.1717,2.5918,69.1284
2020-07,,83.7759,0.1726,2.577,71.585
2020-08,,88.996,0.1792,2.7408,75.2354
2020-09,,89.6637,0.18,2.7183,76.8195
2020-10,,90.3552,0.1779,2.6959,76.4556
2020-11,,90.4629,0.1789,2.6653,75.8599
2020-12,,89.8749,0.1756,2.598,73.6921
2021-01,,91.2186,0.1779,2.6649,75.04
2021-02,,90.3743,0.1783,2.663,74.4373
2021-03,,89.2576,0.1786,2.7094,75.7576
2021-04,,90.4666,0.1745,2.6998,74.9578
2021-05,,89.6555,0.1713,2.6703,73.458
2021-06,,86.1919,0.1688,2.6325,72.1694
2021-07,,86.9919,0.1735,2.7443,73.8471
2021-08,,87.0304,0.173,2.7482,73.9866
2021-09,,85.0355,0.171,2.7261,72.6613
2021-10,,81.0289,0.1636,2.6481,69.8104
2021-11,,84.9526,0.1734,2.7875,75.5873
2021-12,,82.9363,0.169,2.6852,73.2329
2022-01,,88.468,0.1817,2.7229,78.947
2022-02,,93.5994,0.18,2.7803,83.5485
2022-03,,105.2662,0.194,3.24,95.6618
2022-04,,75.9224,0.1607,2.4581,72.8764
2022-05,,69.4353,0.1573,2.2538,66.4029
2022-06,,56.0535,0.1133,1.7998,53.3641
2022-07,,61.0032,0.1255,1.6323,60.2198
